                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.65078,                0.41681,                0.83052,                0.97481,                0.97865,                0.99259,                0.84941,                0.57644,                0.29315,                0.80683,               0.006964,               0.006964,               0.006964
                     95,                0.64819,                0.41484,                0.82801,                0.97581,                0.98154,                0.99253,                0.85409,                0.57573,                0.29211,                0.80685,               0.006931,               0.006931,               0.006931
                     96,                0.65108,                0.41084,                 0.8282,                0.97755,                0.98151,                0.99221,                0.85118,                0.57325,                0.29178,                0.80639,               0.006898,               0.006898,               0.006898
                     97,                0.64395,                0.41531,                0.82445,                0.97505,                0.98338,                 0.9921,                0.85283,                0.57153,                0.29041,                0.80619,               0.006865,               0.006865,               0.006865
                     98,                0.64873,                0.41152,                0.82696,                0.97789,                0.98371,                0.99266,                0.85191,                0.57005,                0.28922,                0.80593,               0.006832,               0.006832,               0.006832
                     99,                0.65059,                0.41458,                0.82591,                0.97556,                 0.9824,                0.99291,                0.85126,                0.56965,                0.28867,                0.80573,               0.006799,               0.006799,               0.006799
                    100,                0.64771,                0.40721,                0.82677,                0.97432,                0.98177,                0.99279,                0.85395,                 0.5678,                0.28852,                0.80553,               0.006766,               0.006766,               0.006766
                    101,                0.64574,                 0.4082,                0.82519,                0.97535,                0.98324,                0.99299,                0.85402,                0.56882,                0.28756,                0.80536,               0.006733,               0.006733,               0.006733
                    102,                0.64333,                0.40648,                0.82477,                0.97247,                0.98143,                0.99297,                0.85406,                0.56898,                0.28677,                0.80538,                 0.0067,                 0.0067,                 0.0067
                    103,                0.64341,                0.40544,                0.82273,                0.97793,                0.98212,                0.99314,                0.85578,                0.56917,                0.28559,                0.80513,               0.006667,               0.006667,               0.006667
                    104,                0.63929,                0.40119,                0.82793,                0.97901,                 0.9823,                0.99328,                 0.8584,                0.56634,                0.28453,                0.80479,               0.006634,               0.006634,               0.006634
                    105,                0.63612,                0.39368,                0.82609,                0.97616,                  0.983,                0.99325,                0.86083,                0.56344,                0.28407,                0.80461,               0.006601,               0.006601,               0.006601
                    106,                0.63562,                0.40109,                0.82554,                0.97905,                0.98279,                0.99308,                0.86208,                0.56205,                0.28276,                0.80438,               0.006568,               0.006568,               0.006568
                    107,                 0.6413,                0.40606,                0.82578,                0.97967,                0.98195,                0.99319,                0.86057,                 0.5614,                0.28229,                0.80424,               0.006535,               0.006535,               0.006535
                    108,                0.63085,                0.40002,                0.82488,                0.97724,                0.98094,                0.99312,                0.85956,                0.56097,                0.28142,                0.80406,               0.006502,               0.006502,               0.006502
                    109,                0.63635,                0.40247,                0.82538,                 0.9794,                0.98234,                0.99311,                0.85973,                 0.5584,                0.28092,                0.80371,               0.006469,               0.006469,               0.006469
                    110,                0.63581,                0.39982,                0.82384,                0.97991,                0.98373,                0.99323,                0.85889,                0.55808,                0.28103,                0.80366,               0.006436,               0.006436,               0.006436
                    111,                0.63833,                0.40184,                 0.8213,                0.97898,                0.98235,                0.99326,                0.85918,                0.55737,                0.28045,                0.80336,               0.006403,               0.006403,               0.006403
                    112,                0.63069,                0.39605,                0.82437,                0.97946,                0.98206,                0.99334,                0.86077,                  0.557,                0.28109,                0.80325,                0.00637,                0.00637,                0.00637
                    113,                0.63298,                 0.3977,                0.82603,                0.98073,                0.98229,                0.99341,                0.86138,                0.55538,                0.27913,                 0.8031,               0.006337,               0.006337,               0.006337
                    114,                0.62559,                0.39226,                0.82279,                0.98179,                0.98216,                0.99346,                0.86105,                0.55479,                0.27879,                 0.8029,               0.006304,               0.006304,               0.006304
                    115,                0.62271,                0.38748,                0.82123,                0.98175,                0.98163,                0.99342,                 0.8604,                0.55371,                0.27766,                0.80272,               0.006271,               0.006271,               0.006271
                    116,                0.62631,                0.39805,                0.82235,                 0.9803,                 0.9818,                0.99342,                0.85952,                0.55334,                0.27727,                0.80258,               0.006238,               0.006238,               0.006238
                    117,                0.62255,                0.39075,                0.81995,                0.97919,                0.98189,                0.99339,                0.86024,                0.55289,                 0.2764,                0.80242,               0.006205,               0.006205,               0.006205
                    118,                0.62619,                0.38762,                0.82356,                0.97788,                0.98256,                0.99329,                0.86111,                0.55149,                0.27534,                0.80216,               0.006172,               0.006172,               0.006172
                    119,                0.62043,                0.38768,                0.82254,                0.97655,                0.98395,                0.99337,                0.86066,                  0.551,                0.27497,                0.80199,               0.006139,               0.006139,               0.006139
                    120,                0.62776,                0.39475,                0.82399,                0.97587,                0.98433,                0.99342,                0.86011,                0.55034,                0.27417,                0.80186,               0.006106,               0.006106,               0.006106
                    121,                0.61939,                0.38934,                0.82244,                0.97658,                0.98367,                0.99341,                0.86211,                0.54958,                0.27431,                0.80182,               0.006073,               0.006073,               0.006073
                    122,                0.62262,                0.38855,                0.82161,                0.97529,                0.98535,                0.99344,                0.86242,                0.54894,                0.27388,                0.80174,                0.00604,                0.00604,                0.00604
                    123,                0.61712,                0.38205,                0.82355,                0.97733,                0.98356,                0.99352,                0.86336,                 0.5473,                0.27353,                0.80163,               0.006007,               0.006007,               0.006007
                    124,                0.62249,                0.38645,                0.82105,                0.97623,                0.98421,                0.99362,                0.86227,                0.54697,                0.27283,                0.80151,               0.005974,               0.005974,               0.005974
                    125,                0.61766,                0.38306,                0.81956,                0.97618,                0.98443,                0.99361,                0.86191,                0.54644,                0.27303,                0.80131,               0.005941,               0.005941,               0.005941
                    126,                0.62237,                0.38549,                0.82105,                0.97565,                0.98574,                0.99361,                0.86445,                0.54564,                0.27184,                0.80115,               0.005908,               0.005908,               0.005908
                    127,                0.61748,                 0.3857,                0.81963,                0.97739,                0.98516,                0.99363,                  0.863,                0.54557,                0.27181,                0.80113,               0.005875,               0.005875,               0.005875
                    128,                0.60931,                0.37365,                0.82125,                0.97817,                0.98574,                0.99353,                0.86246,                0.54461,                0.27119,                0.80093,               0.005842,               0.005842,               0.005842
                    129,                0.61116,                0.38143,                0.81598,                0.97864,                0.98611,                0.99358,                0.86505,                0.54421,                0.27064,                 0.8008,               0.005809,               0.005809,               0.005809
                    130,                0.61245,                0.38175,                0.82063,                0.97911,                0.98621,                 0.9936,                0.86643,                0.54271,                0.27012,                0.80061,               0.005776,               0.005776,               0.005776
                    131,                0.61429,                0.38112,                0.82267,                0.97886,                0.98681,                0.99362,                0.86542,                0.54236,                0.26959,                0.80054,               0.005743,               0.005743,               0.005743
                    132,                 0.6131,                0.37846,                0.82061,                0.97823,                0.98672,                 0.9936,                0.86563,                 0.5423,                0.26924,                0.80041,                0.00571,                0.00571,                0.00571
                    133,                0.60977,                0.37025,                0.82273,                0.97882,                0.98624,                 0.9936,                0.86356,                0.54203,                 0.2686,                0.80036,               0.005677,               0.005677,               0.005677
                    134,                0.60248,                0.36845,                0.81875,                0.97823,                 0.9862,                0.99366,                0.86565,                0.54068,                0.26852,                0.80025,               0.005644,               0.005644,               0.005644
                    135,                 0.6043,                0.37195,                 0.8199,                0.97796,                0.98611,                0.99361,                0.86539,                0.53986,                0.26785,                 0.8002,               0.005611,               0.005611,               0.005611
                    136,                0.60969,                 0.3743,                0.81957,                0.97728,                0.98634,                0.99366,                0.86587,                0.53922,                0.26746,                0.80003,               0.005578,               0.005578,               0.005578
